title,source_url,type,work_role,difficulty,is_free,description
"ISC2 Certified in Cybersecurity (CC) - Free Training","https://www.isc2.org/certifications/cc","Certification","Security Analyst","Beginner",true,"Free entry-level cybersecurity certification program"
"CISA Learning Platform","https://www.cisa.gov/learning","Platform","Security Analyst","Beginner",true,"Government-backed cybersecurity training platform"
"Google Cybersecurity Certificate on Coursera","https://www.coursera.org/professional-certificates/google-cybersecurity","Certification","Security Analyst","Beginner",true,"Beginner-friendly professional cybersecurity certificate"
"CompTIA Security+ Certification Training","https://www.comptia.org/certifications/security","Certification","Security Analyst","Intermediate",false,"Premier global cybersecurity certification"
"Cybrary Career Paths","https://www.cybrary.it/career-path","Platform","Security Analyst","Beginner",true,"Structured cybersecurity training with curated paths"
"SANS Cyber Aces","https://www.sans.org/cyberaces/","Platform","Security Analyst","Beginner",true,"Free community cybersecurity resources"
"EC-Council Information Security Analyst Professional Certificate","https://www.eccouncil.org/","Certification","Security Analyst","Intermediate",false,"5-course series with hands-on labs"
"IBM Cybersecurity Analyst Professional Certificate","https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst","Certification","Security Analyst","Intermediate",false,"14-course cybersecurity series"
"LetsDefend SOC Training Platform","https://letsdefend.io/","Platform","Security Analyst","Intermediate",true,"Real-world SOC scenarios training"
"CompTIA CySA+ Certification","https://www.comptia.org/certifications/cybersecurity-analyst","Certification","Security Analyst","Intermediate",false,"Behavioral analytics focused certification"
"Microsoft Learn Security Engineer Path","https://learn.microsoft.com/en-us/training/paths/security-engineer/","Course","Cybersecurity Engineer","Beginner",true,"Microsoft security technologies training"
"Cloud Security Alliance (CSA) Training","https://cloudsecurityalliance.org/education/","Course","Cybersecurity Engineer","Beginner",true,"Free cloud security courses"
"Fullstack Academy Cybersecurity Bootcamp","https://www.fullstackacademy.com/programs/cybersecurity-bootcamp","Bootcamp","Cybersecurity Engineer","Beginner",false,"Intensive hands-on cybersecurity bootcamp"
"CompTIA Network+ Certification","https://www.comptia.org/certifications/network","Certification","Cybersecurity Engineer","Beginner",false,"Network infrastructure fundamentals"
"CISA Critical Infrastructure Training","https://www.cisa.gov/critical-infrastructure-training","Training","Cybersecurity Engineer","Intermediate",true,"Critical infrastructure security courses"
"Fortinet Free Cybersecurity Training","https://training.fortinet.com/","Training","Cybersecurity Engineer","Intermediate",true,"Advanced technical security training"
"AWS Certified Security Specialty","https://aws.amazon.com/certification/certified-security-specialty/","Certification","Cybersecurity Engineer","Advanced",false,"AWS cloud security certification"
"Microsoft Azure Security Engineer Associate (AZ-500)","https://learn.microsoft.com/en-us/certifications/azure-security-engineer/","Certification","Cybersecurity Engineer","Advanced",false,"Azure security implementation certification"
"CompTIA CASP+ (Advanced Security Practitioner)","https://www.comptia.org/certifications/comptia-advanced-security-practitioner","Certification","Cybersecurity Engineer","Expert",false,"Expert-level enterprise security certification"
"Google Cloud Professional Cloud Security Engineer","https://cloud.google.com/certification/cloud-security-engineer","Certification","Cybersecurity Engineer","Intermediate",false,"GCP security expertise certification"
"Google Cloud Security Learning Path","https://cloud.google.com/training/security","Course","Cloud Security Engineer","Beginner",true,"Comprehensive GCP security training"
"AWS Security Fundamentals","https://aws.amazon.com/training/learn-about/security/","Course","Cloud Security Engineer","Beginner",true,"Free AWS security basics training"
"Cloud Security Alliance Foundation Certificate","https://cloudsecurityalliance.org/education/ccsk/","Certification","Cloud Security Engineer","Intermediate",false,"Foundational multi-cloud security knowledge"
"CompTIA Cloud+ Certification","https://www.comptia.org/certifications/cloud","Certification","Cloud Security Engineer","Intermediate",false,"Vendor-neutral cloud security certification"
"Microsoft Azure Security Center Learning","https://learn.microsoft.com/en-us/azure/security-center/","Course","Cloud Security Engineer","Intermediate",true,"Free Azure security services training"
"ISC2 Certified Cloud Security Professional (CCSP)","https://www.isc2.org/certifications/ccsp","Certification","Cloud Security Engineer","Advanced",false,"Advanced multi-cloud security expertise"
"Coursera AI Security Fundamentals","https://www.coursera.org/","Course","AI Security Specialist","Beginner",true,"Introductory AI security and vulnerabilities"
"NVIDIA Deep Learning Institute - Adversarial ML","https://www.nvidia.com/en-us/training/","Course","AI Security Specialist","Intermediate",true,"Free adversarial ML defense strategies"
"Tonex Certified AI Security Fundamentals (CAISF)","https://www.tonex.com/","Certification","AI Security Specialist","Beginner",false,"Fundamental AI security concepts certification"
"MIT xPRO AI and Cybersecurity Strategies","https://xpro.mit.edu/","Course","AI Security Specialist","Advanced",false,"Strategic AI implementation in cybersecurity"
"Carnegie Mellon CERT AI for Cybersecurity Certificate","https://www.sei.cmu.edu/","Certification","AI Security Specialist","Advanced",false,"CMU professional AI cybersecurity certificate"
"Practical DevSecOps Certified AI Security Professional","https://www.practical-devsecops.com/","Certification","AI Security Specialist","Advanced",false,"Advanced AI security lifecycle certification"
"DevOps Institute DevSecOps Foundation","https://devopsinstitute.com/","Course","DevSecOps Engineer","Beginner",true,"DevSecOps principles and culture"
"OWASP DevSecOps Guideline","https://owasp.org/www-project-devsecops-guideline/","Resource","DevSecOps Engineer","Beginner",true,"Free secure development practices"
"DevOps Institute DevSecOps Foundation Certification","https://devopsinstitute.com/certifications/devsecops-foundation/","Certification","DevSecOps Engineer","Beginner",false,"Foundational DevSecOps certification"
"Coursera Secure Software Development","https://www.coursera.org/","Course","DevSecOps Engineer","Intermediate",false,"Secure coding and threat modeling"
"Global Skill Development Council DevSecOps Engineer","https://www.gsdcouncil.org/","Certification","DevSecOps Engineer","Intermediate",false,"DevSecOps skills and automation certification"
"Practical DevSecOps Certified DevSecOps Professional","https://www.practical-devsecops.com/","Certification","DevSecOps Engineer","Advanced",false,"Advanced comprehensive DevSecOps expertise"
"EC-Council Certified DevSecOps Engineer","https://www.eccouncil.org/","Certification","DevSecOps Engineer","Advanced",false,"Advanced DevSecOps engineering certification"
"MITRE ATT&CK Framework Training","https://attack.mitre.org/resources/training/","Training","Threat Intelligence Analyst","Beginner",true,"MITRE ATT&CK foundational knowledge"
"SANS Threat Intelligence Reading Room","https://www.sans.org/white-papers/","Resource","Threat Intelligence Analyst","Beginner",true,"Free extensive threat intelligence materials"
"EC-Council Certified Threat Intelligence Analyst (CTIA)","https://www.eccouncil.org/train-certify/certified-threat-intelligence-analyst-ctia/","Certification","Threat Intelligence Analyst","Intermediate",false,"Industry-standard threat intel certification"
"Coursera Cyber Threat Hunting","https://www.coursera.org/","Course","Threat Intelligence Analyst","Intermediate",false,"Proactive threat hunting methodologies"
"Google Cloud Mandiant Academy Threat Hunting","https://www.mandiant.com/academy","Training","Threat Intelligence Analyst","Advanced",false,"Advanced threat hunting and analysis"
"MAD20 ATT&CK Cyber Threat Intelligence Certification","https://mitre-engenuity.org/","Certification","Threat Intelligence Analyst","Advanced",false,"MITRE ATT&CK focused certification"
"SANS FOR578: Cyber Threat Intelligence","https://www.sans.org/cyber-security-courses/cyber-threat-intelligence/","Course","Threat Intelligence Analyst","Advanced",false,"Foundational threat intelligence course"
"GIAC Cyber Threat Intelligence (GCTI)","https://www.giac.org/certifications/cyber-threat-intelligence-gcti/","Certification","Threat Intelligence Analyst","Expert",false,"Expert-level threat intelligence certification"
"PortSwigger Web Security Academy","https://portswigger.net/web-security","Course","Penetration Tester","Beginner",true,"Industry-leading free web app security training"
"TryHackMe Complete Beginner Path","https://tryhackme.com/path/outline/beginner","Platform","Penetration Tester","Beginner",true,"Gamified beginner-friendly cybersecurity training"
"HackTheBox Academy","https://academy.hackthebox.com/","Platform","Penetration Tester","Intermediate",true,"Structured training with real-world scenarios"
"Offensive Security OSCP (PEN-200)","https://www.offsec.com/courses/pen-200/","Certification","Penetration Tester","Advanced",false,"Gold standard penetration testing certification"
"PentesterLab Free Exercises","https://pentesterlab.com/exercises","Platform","Penetration Tester","Beginner",true,"Step-by-step web security exercises"
"Claude Code in Action - Anthropic Academy","https://www.anthropic.com/","Course","AI-Assisted Development","Beginner",true,"Free Anthropic course on Claude Code"
"Anthropic Prompt Engineering Interactive Tutorial","https://docs.anthropic.com/","Course","AI-Assisted Development","Beginner",true,"Official Anthropic hands-on tutorial"
"OpenAI Prompt Engineering Guide","https://platform.openai.com/docs/guides/prompt-engineering","Guide","AI-Assisted Development","Beginner",true,"Official OpenAI prompt engineering documentation"
"DeepLearning.AI: ChatGPT Prompt Engineering for Developers","https://www.deeplearning.ai/short-courses/chatgpt-prompt-engineering-for-developers/","Course","AI-Assisted Development","Intermediate",true,"Andrew Ng course on prompt engineering"
"Blue Team Labs Online","https://blueteamlabs.online/","Platform","SOC Analyst","Intermediate",true,"Defensive security challenges for SOC analysts"
"Google Cybersecurity Professional Certificate","https://grow.google/certificates/cybersecurity/","Certification","General Cybersecurity","Beginner",true,"Comprehensive program with AI integration"
